player_id,player_name,pass_success,pass_cross_accurate,pass_long_ball_accurate,pass_through_ball_accurate,minutes_played,matches_played,PVS,rating,cross_accuracy,pass_success_accuracy,long_ball_accuracy,through_ball_accuracy,Cluster
108638,Will Hughes,1744.1,15.0,1744.1,14.0,1506,22,277.01363636363635,6.576818181818182,15.0,79.27727272727272,79.27727272727272,14.0,0
8166,Ashley Young,1640.0,6.0,1640.0,9.0,1505,22,266.95,6.632272727272727,6.0,74.54545454545455,74.54545454545455,9.0,1
351127,Konstantinos Mavropanos,1794.6,15.0,1794.6,48.0,1493,21,300.3357142857143,6.662857142857142,15.0,85.45714285714286,85.45714285714286,48.0,0
389935,Noni Madueke,1859.1,64.0,1859.1,9.0,1464,23,288.8086956521739,6.8795652173913036,64.0,80.83043478260869,80.83043478260869,9.0,2
143990,Harry Winks,1635.2,9.0,1635.2,7.0,1462,19,288.13157894736844,6.3510526315789475,9.0,86.06315789473685,86.06315789473685,7.0,0
318449,John McGinn,1829.4,21.0,1829.4,10.0,1459,21,292.2,6.458571428571428,21.0,87.11428571428571,87.11428571428571,10.0,0
381045,Jarrad Branthwaite,1434.7,5.0,1434.7,26.0,1446,18,287.7416666666667,6.820555555555555,5.0,79.70555555555556,79.70555555555556,26.0,2
141486,Jacob Murphy,1662.7,29.0,1662.7,2.0,1441,22,272.10227272727275,6.900454545454545,29.0,75.57727272727273,75.57727272727273,2.0,2
121774,Ederson,1375.2,0.0,1375.2,3.0,1440,16,283.6,6.5962499999999995,0.0,85.95,85.95,3.0,0
298694,Pervis Estupiñán,1587.6,14.0,1587.6,24.0,1417,18,305.7055555555555,6.8566666666666665,14.0,88.19999999999999,88.19999999999999,24.0,2
397585,André,1848.9,3.0,1848.9,2.0,1411,20,307.25,6.5205,3.0,92.44500000000001,92.44500000000001,2.0,0
384430,Evanilson,1298.9,43.0,1298.9,26.0,1383,19,253.2078947368421,6.779473684210527,43.0,68.36315789473684,68.36315789473684,26.0,1
247454,Martin Ødegaard,1444.6,25.0,1444.6,6.0,1378,17,296.93823529411765,6.942352941176471,25.0,84.97647058823529,84.97647058823529,6.0,2
137015,James Maddison,2001.0,36.0,2001.0,5.0,1370,23,306.39565217391305,7.112608695652174,36.0,87.0,87.0,5.0,2
403850,Malo Gusto,1839.1,18.0,1839.1,6.0,1366,21,294.6952380952381,6.444285714285715,18.0,87.57619047619048,87.57619047619048,6.0,0
373525,João Pedro,1452.4,33.0,1452.4,26.0,1363,19,275.8342105263158,6.851578947368421,33.0,76.4421052631579,76.4421052631579,26.0,2
444241,Santiago Bueno,1542.0,6.0,1542.0,32.0,1363,18,292.68888888888887,6.43,6.0,85.66666666666667,85.66666666666667,32.0,0
